192,consolation to such distress.
193,I am so very sorry. This is grave indeed.
194,I will leave you. Goodbye.
195,"Darcy pauses at the door, looks back at Elizabeth and"
196,then is gone.
197,I have some business with Mr Bingley.
198,Darcy goes inside and the door shuts. The camera cranes
199,slowly upstairs until we can see through the first floor
200,window and into the drawing room. Mr Darcy enters and
201,bows to Mr Bingley. He starts to talk in earnest. Bingley
202,looks stunned by what Darcy is relaying to him. We
203,witness the dumbshow of Darcy confessing that he has
204,wronged Jane Bennet.
205,"Quite well, thank you."
206,I return to town tomorrow.
207,What were you thinking of?
208,It's as if Bingley has not heard. He keeps pacing up and
209,down.
210,What are you doing out here so early?
211,Me neither. I have been up.most of the
212,night.
213,I am alarmed that you know of what I have
214,been so in earnest to keep silent. But
215,you must know that your happiness was one
216,of my prime inducements.
217,Elizabeth looks at Darcy.
218,"Allow me, Mrs Darcy."
219,He puts out his hand. She takes it. He helps her up the
220,"rocks. When they get to the top they sit there, side by"
221,"side, and gaze at the distant lights of Pemberley."
222,"I cannot fix the hour, or the spot, or"
223,"For the liveliness of your mind, I did."
